ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: difusor,Meta: _difusor,Meta: cobertura,Meta: _cobertura,Meta: control,Meta: _control,Meta: app,Meta: _app,Meta: capacidad,Meta: _capacidad,Meta: cantidad_de_aroma_de_regalo,Meta: _cantidad_de_aroma_de_regalo
,variable,BOX-OV1,Box aromático Drive & Scent,1,visible,,1,,taxable,,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WHITE.png,,Color,"White, Black, Wood",1,1,White,OV-1,field_6a1ecd9ec803e,Auto,field_6a1ecdb7c8040,Manual,field_6a1ecdbec8041,Manual,field_6a1ece1dc8042,10 ML,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,variation,BOX-OV1-WHITE,Box aromático Drive & Scent - White,1,visible,,1,,taxable,273.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WHITE.png,BOX-OV1,Color,White,1,1,,,,,,,,,,,,,
,variation,BOX-OV1-BLACK,Box aromático Drive & Scent - Black,1,visible,,1,,taxable,273.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1BLACK.png,BOX-OV1,Color,Black,1,1,,,,,,,,,,,,,
,variation,BOX-OV1-WOOD,Box aromático Drive & Scent - Wood,1,visible,,1,,taxable,273.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WOOD.png,BOX-OV1,Color,Wood,1,1,,,,,,,,,,,,,
,variable,BOX-ND150,Box aromático Aroma delicado,1,visible,,1,,taxable,,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150WHITE.png,,Color,"White, Black",1,1,White,ND-150,field_6a1ecd9ec803e,30,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent marketing,field_6a1ece1dc8042,100 ML,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,variation,BOX-ND150-WHITE,Box aromático Aroma delicado - White,1,visible,,1,,taxable,342.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150WHITE.png,BOX-ND150,Color,White,1,1,,,,,,,,,,,,,
,variation,BOX-ND150-BLACK,Box aromático Aroma delicado - Black,1,visible,,1,,taxable,342.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150BLACK.png,BOX-ND150,Color,Black,1,1,,,,,,,,,,,,,
,variable,BOX-OP7,Box aromático Sublime intensidad,1,visible,,1,,taxable,,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7BLACK.png,,Color,"Black, Gold, Silver",1,1,Black,OP-7,field_6a1ecd9ec803e,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent marketing,field_6a1ece1dc8042,120 ML,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,variation,BOX-OP7-BLACK,Box aromático Sublime intensidad - Black,1,visible,,1,,taxable,850.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7BLACK.png,BOX-OP7,Color,Black,1,1,,,,,,,,,,,,,
,variation,BOX-OP7-GOLD,Box aromático Sublime intensidad - Gold,1,visible,,1,,taxable,850.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7GOLD.png,BOX-OP7,Color,Gold,1,1,,,,,,,,,,,,,
,variation,BOX-OP7-SILVER,Box aromático Sublime intensidad - Silver,1,visible,,1,,taxable,850.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7SILVER.png,BOX-OP7,Color,Silver,1,1,,,,,,,,,,,,,
,variable,BOX-OW006,Box aromático Poder aromático,1,visible,,1,,taxable,,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006WHITE.png,,Color,"White, Black",1,1,White,OW-006,field_6a1ecd9ec803e,650,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent marketing,field_6a1ece1dc8042,1000 ML,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,variation,BOX-OW006-WHITE,Box aromático Poder aromático - White,1,visible,,1,,taxable,1675.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006WHITE.png,BOX-OW006,Color,White,1,1,,,,,,,,,,,,,
,variation,BOX-OW006-BLACK,Box aromático Poder aromático - Black,1,visible,,1,,taxable,1675.00,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006BLACK.png,BOX-OW006,Color,Black,1,1,,,,,,,,,,,,,
